都区部平均　,"631,300  ",631300
千代田区　　,"2,771,400  ",2771400
中央区　　　,"1,300,500  ",1300500
港区　　　　,"2,009,300  ",2009300
新宿区　　　,"803,500  ",803500
文京区　　　,"999,600  ",999600
台東区　　　,"916,300  ",916300
墨田区　　　,"439,300  ",439300
江東区　　　,"480,900  ",480900
品川区　　　,"849,300  ",849300
目黒区　　　,"951,300  ",951300
大田区　　　,"528,200  ",528200
世田谷区　　,"636,200  ",636200
渋谷区　　　,"1,311,500  ",1311500
中野区　　　,"597,000  ",597000
杉並区　　　,"541,900  ",541900
豊島区　　　,"631,800  ",631800
北区　　　　,"531,700  ",531700
荒川区　　　,"508,900  ",508900
板橋区　　　,"433,100  ",433100
練馬区　　　,"394,400  ",394400
足立区　　　,"314,200  ",314200
葛飾区　　　,"319,700  ",319700
江戸川区　　,"363,200  ",363200
八王子市　　,"116,700  ",116700
立川市　　　,"250,700  ",250700
武蔵野市　　,"565,300  ",565300
三鷹市　　　,"414,000  ",414000
青梅市　　　,"94,500  ",94500
府中市　　　,"292,700  ",292700
昭島市　　　,"186,700  ",186700
調布市　　　,"338,000  ",338000
町田市　　　,"156,700  ",156700
小金井市　　,"337,900  ",337900
小平市　　　,"229,900  ",229900
日野市　　　,"190,800  ",190800
東村山市　　,"187,300  ",187300
国分寺市　　,"289,100  ",289100
国立市　　　,"340,000  ",340000
福生市　　　,"165,100  ",165100
狛江市　　　,"308,800  ",308800
東大和市　　,"169,500  ",169500
清瀬市　　　,"185,600  ",185600
東久留米市　,"215,500  ",215500
武蔵村山市　,"122,100  ",122100
多摩市　　　,"184,400  ",184400
稲城市　　　,"228,000  ",228000
羽村市　　　,"140,000  ",140000
あきる野市　,"98,600  ",98600
西東京市　　,"288,700  ",288700